# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=quad_creek_oct31_release_version
# Date=12:25:39
# CreatedBy=Fritzing 1.0.4.2024-10-07.1.0.4rc1-4-ga8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
SWITCH,";;;;;;;;","DIP (Dual Inline) [THT]",2855.46,236.367,90,Top,THT
220k,"220;;;;;0.25W;;;","THT",1254.36,2275.11,-90,Top,THT
Via83,";;;;;;;;","",6055.45,386.37,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",5233.51,814.889,0,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",2629.36,2887.62,0,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4905.46,461.366,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",305.456,1486.37,180,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",6380.46,3261.37,90,Top,THT
Via96,";;;;;;;;","",3605.45,3661.37,0,Top,MANUAL
22k,"220;;;;;0.25W;;;","THT",1579.36,1737.61,-90,Top,THT
220k,"220;;;;;0.25W;;;","THT",4005.46,2861.37,0,Top,THT
Via93,";;;;;;;;","",5755.46,1786.36,0,Top,MANUAL
100k2,"220;;;;;0.25W;;;","THT",5580.46,3311.37,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",9680.46,911.367,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9655.46,4086.37,-90,Top,THT
22k,"220;;;;;0.25W;;;","THT",5130.46,411.367,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9855.46,3786.37,0,Top,THT
475,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1829.36,2787.62,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",3530.46,586.366,6.36109e-15,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",4030.46,2411.37,90,Top,THT
SWITCH,";;;;;;;;","DIP (Dual Inline) [THT]",7930.46,236.367,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",1504.36,3662.62,180,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4805.46,786.366,6.36109e-15,Top,THT
R19,";;;;;0.5W;;;","THT",7230.45,2370.75,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",3530.46,5211.37,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9280.46,1061.37,0,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9730.46,2111.37,3.18056e-15,Top,THT
10k,"220;;;;;0.25W;;;","THT",8864.43,912.422,0,Top,THT
-,";;;;;;;;","TO92 [THT]",9737.96,2289.87,180,Top,THT
R26,";;;;;0.5W;;;","THT",2304.34,471.998,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",8155.46,4536.37,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2980.46,1161.37,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9730.46,536.367,90,Top,THT
Via205,";;;;;;;;","",10430.5,1786.36,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",2504.36,4012.62,1.59028e-15,Top,THT
Via247,";;;;;;;;","",7584.21,4097.19,0,Top,MANUAL
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4630.46,3836.37,0,Top,THT
R38,";;;;;0.5W;;;","THT",8596.07,4536.35,180,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",3505.46,4886.37,-90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2079.36,3787.62,0,Top,THT
100k4,"220;;;;;0.25W;;;","THT",7530.46,3811.37,180,Top,THT
10k,"220;;;;;0.25W;;;","THT",1879.36,1487.61,0,Top,THT
Via56,";;;;;;;;","",3830.46,1786.36,0,Top,MANUAL
22k,"220;;;;;0.25W;;;","THT",2804.36,2362.61,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",929.356,4087.62,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",6105.46,911.366,6.36109e-15,Top,THT
10k,"220;;;;;0.25W;;;","THT",8880.46,5211.37,-90,Top,THT
Via159,";;;;;;;;","",754.352,1662.61,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",8155.46,3311.37,90,Top,THT
Via185,";;;;;;;;","",1605.02,361.904,0,Top,MANUAL
R28,";;;;;0.5W;;;","THT",729.343,2372,-90,Top,THT
Via179,";;;;;;;;","",280.461,461.361,0,Top,MANUAL
ʃ,"220;;;;;0.25W;;;","THT",6505.46,3261.37,90,Top,THT
Via138,";;;;;;;;","",3180.45,1861.37,0,Top,MANUAL
Via134,";;;;;;;;","",4655.45,2786.37,0,Top,MANUAL
R29,";;;;;0.5W;;;","THT",819.966,3512.6,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",829.356,4087.62,90,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",9280.46,4661.37,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",10707.4,1769.46,90,Top,THT
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2679.36,3612.62,180,Top,THT
22k,"220;;;;;0.25W;;;","THT",9205.46,1736.37,90,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",6705.46,786.367,0,Top,THT
1k,"220;;;;;0.25W;;;","THT",4180.46,1786.37,90,Top,THT
475,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9605.46,2786.37,90,Top,THT
-,"220;;;;;0.25W;;;","THT",3755.46,3111.37,180,Top,THT
10k,"220;;;;;0.25W;;;","THT",2629.36,4512.62,-90,Top,THT
Via201,";;;;;;;;","",9380.45,3136.37,0,Top,MANUAL
10uF,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",5105.46,4661.37,180,Bottom,THT
Via208,";;;;;;;;","",8180.46,1786.36,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",10580.5,761.367,-90,Top,THT
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1204.36,2862.62,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",6905.46,3111.37,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",9280.46,3761.37,-180,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",705.456,1486.37,0,Top,THT
R25,";;;;;0.5W;;;","THT",729.343,471.998,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",1953.44,4908.69,180,Top,THT
47k,"220;;;;;0.25W;;;","THT",4005.46,2961.37,0,Top,THT
1M,"220;;;;;0.25W;;;","THT",4680.46,3736.37,0,Top,THT
1k,"220;;;;;0.25W;;;","THT",129.356,3987.62,90,Top,THT
Via222,";;;;;;;;","",9106.11,254.915,0,Top,MANUAL
1k,"220;;;;;0.25W;;;","THT",4955.46,1311.37,90,Top,THT
R9,";;;;;0.5W;;;","THT",3630.44,3420.75,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",2629.36,5212.61,-90,Top,THT
100k1,"220;;;;;0.25W;;;","THT",5330.46,3311.37,90,Top,THT
R34,";;;;;0.5W;;;","THT",10080.4,470.753,-90,Top,THT
R21,";;;;;0.5W;;;","THT",4830.44,2370.75,-90,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",6405.46,2411.37,90,Top,THT
R7,";;;;;0.5W;;;","THT",6030.44,3420.75,-90,Top,THT
-,"220;;;;;0.25W;;;","THT",9105.46,3186.37,-90,Top,THT
Via98,";;;;;;;;","",5005.45,3961.37,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",8480.46,2886.37,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",6680.46,1236.37,-90,Top,THT
-,"220;;;;;0.25W;;;","THT",1154.36,3387.62,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1504.36,1062.61,0,Top,THT
Via91,";;;;;;;;","",7630.45,261.37,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",7030.46,711.367,90,Top,THT
Via209,";;;;;;;;","",10455.5,486.361,0,Top,MANUAL
-,";;;;;;;;","TO92 [THT]",978.144,2706.73,34.9735,Top,THT
Via74,";;;;;;;;","",7055.45,2661.37,0,Top,MANUAL
R30,";;;;;0.5W;;;","THT",819.966,4537.6,180,Top,THT
Via186,";;;;;;;;","",1403.69,5138.33,0,Top,MANUAL
Via141,";;;;;;;;","",4980.45,4961.37,0,Top,MANUAL
47k,"220;;;;;0.25W;;;","THT",9649.4,2509.33,29.1051,Top,THT
100k5,"220;;;;;0.25W;;;","THT",7530.46,3911.37,180,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",6655.46,2361.37,90,Top,THT
2.2k,"220;;;;;0.25W;;;","THT",5905.46,1111.37,90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1504.36,2937.62,-9.54164e-15,Top,THT
1k,"220;;;;;0.25W;;;","THT",6680.46,1736.37,-90,Top,THT
Via187,";;;;;;;;","",1330.01,256.159,0,Top,MANUAL
Via140,";;;;;;;;","",4705.37,5085.77,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",2354.36,2887.62,-90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9755.46,211.367,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",10410.8,5168.4,-90,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",5705.46,3311.37,90,Top,THT
Via223,";;;;;;;;","",9454.8,5242.83,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",10121.4,833.533,180,Top,THT
Via195,";;;;;;;;","",10030.5,1636.37,0,Top,MANUAL
47k,"220;;;;;0.25W;;;","THT",1873.3,2510.58,29.1051,Top,THT
100k,"220;;;;;0.25W;;;","THT",8605.46,4086.37,90,Top,THT
R22,";;;;;0.5W;;;","THT",6030.44,2370.75,-90,Top,THT
Via139,";;;;;;;;","",4879.33,4887.08,0,Top,MANUAL
Via137,";;;;;;;;","",3464.76,1868.41,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2930.46,1536.37,90,Top,THT
220uF,";1µF;;35V;;;;;","100 mil [THT, electrolytic]",4930.46,4486.37,-13.0716,Bottom,THT
Via190,";;;;;;;;","",1658.36,4962.44,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1879.36,4087.62,-90,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1954.36,2112.61,3.18056e-15,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",5730.46,2411.37,90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8830.46,211.367,0,Top,THT
220k,"220;;;;;0.25W;;;","THT",829.356,3012.62,-90,Top,THT
Via236,";;;;;;;;","",4213.63,4628.7,0,Top,MANUAL
100k44,"220;;;;;0.25W;;;","THT",9280.46,3661.37,180,Top,THT
4.7k,"220;;;;;0.25W;;;","THT",4555.46,3936.37,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1254.36,4112.62,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",10280.5,3811.37,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",5230.46,2411.37,90,Top,THT
Via105,";;;;;;;;","",3480.45,2961.37,0,Top,MANUAL
▯,";;;;;;;;","",6605.79,5061.37,-90,Bottom,MANUAL
Via160,";;;;;;;;","",2254.35,1637.61,0,Top,MANUAL
Via206,";;;;;;;;","",10080.5,5136.37,0,Top,MANUAL
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",5355.46,2536.37,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",8255.46,3836.37,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",2054.36,4087.62,90,Top,THT
Via199,";;;;;;;;","",9280.45,86.3704,0,Top,MANUAL
Via220,";;;;;;;;","",9381.12,360.659,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",10130.5,2886.37,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",4330.46,5211.37,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",9655.46,1486.37,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",9830.46,4086.37,90,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",4155.46,3786.37,0,Top,THT
Via191,";;;;;;;;","",1710.05,382.47,0,Top,MANUAL
Via237,";;;;;;;;","",4201.85,4307.38,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",5229.12,910.5,0,Top,THT
-,"220;;;;;0.25W;;;","THT",479.356,3937.62,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",10280.5,4111.37,-1.59028e-15,Top,THT
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",10455.5,3611.37,180,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",1504.36,812.611,0,Top,THT
22k,"220;;;;;0.25W;;;","THT",4680.46,411.367,90,Top,THT
Via241,";;;;;;;;","",6427.75,4656.1,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",1068.52,4908.69,180,Top,THT
R16,";;;;;0.5W;;;","THT",5455.44,470.752,-90,Top,THT
100k,"220;;;;;0.25W;;;","THT",4380.46,4136.37,0,Top,THT
Via114,";;;;;;;;","",5082.84,5214.86,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2504.36,3812.62,0,Top,THT
Via112,";;;;;;;;","",5030.45,1036.37,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2358.43,818.378,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",3780.46,4136.37,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1554.36,4287.62,180,Top,THT
Via184,";;;;;;;;","",1104.16,1186.66,0,Top,MANUAL
47k,"220;;;;;0.25W;;;","THT",8911.52,2517.43,-45,Top,THT
100k,"220;;;;;0.25W;;;","THT",8805.46,4811.37,180,Top,THT
R18,";;;;;0.5W;;;","THT",4530.44,4445.75,-90,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",6705.46,886.367,0,Top,THT
R8,";;;;;0.5W;;;","THT",4830.44,3420.75,-90,Top,THT
Via181,";;;;;;;;","",405.461,461.361,0,Top,MANUAL
Via97,";;;;;;;;","",3605.45,3761.37,0,Top,MANUAL
R10,";;;;;0.5W;;;","THT",6330.44,4445.75,-90,Top,THT
Via164,";;;;;;;;","",1504.35,87.6149,0,Top,MANUAL
Via69,";;;;;;;;","",4905.46,5111.37,0,Top,MANUAL
1k,"220;;;;;0.25W;;;","THT",6780.46,2236.37,90,Top,THT
R20,";;;;;0.5W;;;","THT",3630.44,2370.75,-90,Top,THT
D1,";;;;;;;;","300 mil [THT]",4806.46,4786.37,180,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9030.46,4111.37,90,Top,THT
R33,";;;;;0.5W;;;","THT",8505.44,470.753,-90,Top,THT
Via178,";;;;;;;;","",280.461,286.361,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9330.46,4286.37,180,Top,THT
Via168,";;;;;;;;","",1904.36,1187.61,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",9494.77,4355.76,-158.242,Top,THT
-,";;;;;;;;","TO92 [THT]",9887.96,2689.87,180,Top,THT
Via59,";;;;;;;;","",4530.46,1786.36,0,Top,MANUAL
Via64,";;;;;;;;","",6330.46,1786.36,0,Top,MANUAL
47k,"220;;;;;0.25W;;;","THT",6330.46,661.367,90,Top,THT
Via128,";;;;;;;;","",5654.74,5248.9,0,Top,MANUAL
Via70,";;;;;;;;","",4730.45,4136.37,0,Top,MANUAL
R11,";;;;;0.5W;;;","THT",7230.44,3420.75,-90,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",8205.46,2886.37,0,Top,THT
Via249,";;;;;;;;","",7941.27,4680.1,0,Top,MANUAL
22k,"220;;;;;0.25W;;;","THT",4580.46,411.367,90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1054.36,212.611,0,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1979.36,212.611,0,Top,THT
-,"220;;;;;0.25W;;;","THT",4680.46,2061.37,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",9730.46,5211.37,90,Top,THT
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",354.356,3637.62,180,Top,THT
-,"220;;;;;0.25W;;;","THT",8255.46,3936.37,180,Top,THT
R32,";;;;;0.5W;;;","THT",9989.84,4536.38,0,Top,THT
22k,"220;;;;;0.25W;;;","THT",8005.46,2361.37,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",1954.36,5212.61,90,Top,THT
Via116,";;;;;;;;","",5180.45,4961.37,0,Top,MANUAL
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8980.46,2861.37,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4455.46,2836.37,0,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",804.356,1937.61,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",7905.46,3986.37,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4030.46,3211.37,90,Top,THT
22k,"220;;;;;0.25W;;;","THT",1429.36,1737.61,90,Top,THT
-,"220;;;;;0.25W;;;","THT",5955.46,3061.37,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",479.356,4037.62,3.18056e-15,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",9280.46,811.367,0,Top,THT
Via171,";;;;;;;;","",2304.36,5137.62,0,Top,MANUAL
Via243,";;;;;;;;","",7617.45,4784.36,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",1079.36,911.989,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1129.36,4112.62,-90,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8580.46,1936.37,-90,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",9280.46,4036.37,0,Top,THT
R31,";;;;;0.5W;;;","THT",9989.84,3511.37,0,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",4280.46,3261.37,-90,Top,THT
Via63,";;;;;;;;","",7030.46,1186.36,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",379.356,3312.62,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",9745.2,4907.44,180,Top,THT
-,"220;;;;;0.25W;;;","THT",9480.46,3186.37,-90,Top,THT
100k,"220;;;;;0.25W;;;","THT",4130.46,2411.37,90,Top,THT
1k,"220;;;;;0.25W;;;","THT",1904.36,762.611,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",504.356,3312.62,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",3580.46,686.367,0,Top,THT
1M,"220;;;;;0.25W;;;","THT",1072.02,2991.14,-77,Top,THT
Via104,";;;;;;;;","",3255.45,3011.37,0,Top,MANUAL
Via218,";;;;;;;;","",8881.11,1786.58,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",6505.46,2411.37,90,Top,THT
-,"220;;;;;0.25W;;;","THT",7030.46,2861.37,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",9930.46,4086.37,90,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2129.36,3137.62,90,Top,THT
CD4013,";;;;;;;;","DIP (Dual Inline) [THT]",1504.36,2537.62,0,Top,THT
Via189,";;;;;;;;","",1350.34,537.793,0,Top,MANUAL
Via193,";;;;;;;;","",10205.5,636.37,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",379.356,2362.61,90,Top,THT
-,"220;;;;;0.25W;;;","THT",1704.36,3187.62,-90,Top,THT
-,";;;;;;;;","TO92 [THT]",8754.24,2705.48,34.9735,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",429.356,2887.62,0,Top,THT
Via180,";;;;;;;;","",405.461,286.361,0,Top,MANUAL
Via196,";;;;;;;;","",9955.45,1761.37,0,Top,MANUAL
ʃ,"220;;;;;0.25W;;;","THT",5455.46,3311.37,90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9555.46,3761.37,90,Top,THT
Via108,";;;;;;;;","",3710.41,1440.29,0,Top,MANUAL
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",5571.68,880.711,-45,Top,THT
-,"220;;;;;0.25W;;;","THT",3780.46,2061.37,180,Top,THT
Via100,";;;;;;;;","",5980.45,1511.37,0,Top,MANUAL
106,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8130.46,3636.37,180,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",10455.5,3211.37,180,Top,THT
CD4013,";;;;;;;;","DIP (Dual Inline) [THT]",9280.46,2536.37,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",6380.46,4111.37,0,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",6080.46,661.367,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",8844.62,4907.44,180,Top,THT
Via75,";;;;;;;;","",4805.45,2886.37,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",5780.46,811.367,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",1155.46,1486.37,0,Top,THT
Via99,";;;;;;;;","",5030.45,3861.37,0,Top,MANUAL
Via212,";;;;;;;;","",10455.5,286.361,0,Top,MANUAL
Via110,";;;;;;;;","",3380.45,3861.37,0,Top,MANUAL
R37,";;;;;0.5W;;;","THT",8596.07,3511.35,180,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",3580.46,886.367,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",154.356,737.611,-90,Top,THT
Via136,";;;;;;;;","",6105.45,1536.37,0,Top,MANUAL
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",5005.46,461.366,90,Top,THT
Via232,";;;;;;;;","",804.126,762.359,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",533.878,834.778,180,Top,THT
-,"220;;;;;0.25W;;;","THT",8930.46,3386.37,90,Top,THT
22k,"220;;;;;0.25W;;;","THT",9355.46,1736.37,-90,Top,THT
2.2k,"220;;;;;0.25W;;;","THT",5780.46,386.367,90,Top,THT
2.2M,"220;;;;;0.25W;;;","THT",4405.46,2961.37,0,Top,THT
Via82,";;;;;;;;","",3405.45,4986.37,0,Top,MANUAL
Via53,";;;;;;;;","",3830.46,1186.36,0,Top,MANUAL
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9280.46,2936.37,-9.54164e-15,Top,THT
